"GEOID","state","total_population","B27010_001M","uninsured","B27010_002M","privately_insured","B27010_003M","publicly_insured","B27010_004M","year","uninsured_rate","private_insurance_rate","public_insurance_rate"
"32","Nevada",2887475,594,706968,980,610566,3372,343916,4897,2018,24.4839522420108,21.1453259335579,11.9106139447095
"33","New Hampshire",1326243,276,282167,727,261517,1278,174904,2124,2018,21.2756636604303,19.7186337647022,13.187930115371
"34","New Jersey",8776839,625,2081741,1671,1907902,4635,1211713,7634,2018,23.7185733952736,21.7379172615562,13.8058018382244
"35","New Mexico",2057526,691,522555,1121,459504,3257,166751,3622,2018,25.3972489290536,22.3328405084553,8.1044419365782
"36","New York",19378618,874,4388587,2464,3953286,6917,2100063,12227,2018,22.6465426997942,20.4002473241384,10.8370111841825
"37","North Carolina",9952031,1743,2431983,2358,2192008,5049,1008291,8982,2018,24.4370520951954,22.0257352494179,10.1315098395493
"38","North Dakota",736241,426,183801,607,157261,1505,106019,1860,2018,24.964787345448,21.359989459973,14.4000402042266
"39","Ohio",11468700,587,2772744,2411,2482001,6020,1465749,11321,2018,24.1766198435742,21.6415199630298,12.7804284705328
"40","Oklahoma",3837568,808,1010832,1085,863406,2948,404579,3943,2018,26.3404322737734,22.4987804776358,10.5425884310063
"41","Oregon",4042073,372,917260,1162,819166,2745,431610,5700,2018,22.692811337153,20.2659872792995,10.6779367913444
"42","Pennsylvania",12587979,432,2847705,2175,2515460,5264,1490017,9572,2018,22.6224161956419,19.9830330190414,11.836824640397
"44","Rhode Island",1040879,291,224995,788,202166,1487,117518,2199,2018,21.6158650525181,19.422622610313,11.2902652469691
"45","South Carolina",4858485,1014,1159141,1590,1038098,4390,488302,5921,2018,23.8580750995423,21.3667017599108,10.0504992811545
"46","South Dakota",846821,341,223144,690,194862,1542,107697,2183,2018,26.3507872383892,23.0110023251667,12.717799865615
"47","Tennessee",6547663,980,1583544,1604,1413873,4053,709338,7208,2018,24.1848732899051,21.5935517756488,10.8334530961658
"48","Texas",27417645,2145,7688142,4204,6560303,11315,3229964,19278,2018,28.0408547123577,23.927303019643,11.7806033304465
"50","Vermont",618896,136,127897,479,116664,832,59335,1465,2018,20.6653460355213,18.8503399601872,9.58723274992891
"49","Utah",3019579,505,966135,1186,847958,3888,600193,4886,2018,31.9956854912556,28.0819942117759,19.8767112898851
"51","Virginia",8197642,2117,1982166,2031,1755631,5036,1039388,7953,2018,24.1797092383395,21.4162926363459,12.6791094317122
"53","Washington",7187395,1428,1722595,1570,1550616,4410,828700,7247,2018,23.9668892554256,21.5741029955916,11.5299075673453
"54","West Virginia",1800270,221,394812,972,357526,1750,179185,3188,2018,21.930710393441,19.8595766190627,9.95322923783655
"55","Wisconsin",5706206,338,1369121,1201,1225388,3243,793631,5274,2018,23.9935431703657,21.4746540871465,13.9082080107168
"56","Wyoming",571923,367,145003,618,125065,1307,82460,1905,2018,25.353587808149,21.8674541852662,14.4180248040383
"72","Puerto Rico",3361571,294,735633,1353,685827,2625,184404,4082,2018,21.8836073966607,20.4019787176888,5.48564941808458
"01","Alabama",4785040,733,1165772,1520,1061121,3300,510146,5659,2018,24.3628475415044,22.1758020831592,10.6612692892849
"02","Alaska",714106,726,194691,374,156850,1378,75722,1884,2018,27.2635995216396,21.9645262748107,10.6037479029724
"04","Arizona",6838270,799,1731470,1724,1484866,5304,761132,8000,2018,25.3202929980828,21.7140592576777,11.1304759829606
"05","Arkansas",2937135,410,745224,1174,669636,3243,276607,4186,2018,25.3724803252149,22.7989520399982,9.41757869488464
"06","California",38653948,1897,9591494,3869,8718417,8632,4269572,18499,2018,24.8137499434728,22.5550492280892,11.0456298021615
"08","Colorado",5439267,1264,1331380,1423,1195391,3156,649802,5548,2018,24.4771951808948,21.9770605120138,11.9464994088358
"10","Delaware",934743,400,216275,559,192157,1732,111939,2425,2018,23.1373757278739,20.5572012842033,11.9753771892381
